sample_id,parameter,parameter_raw,value,unit,uncertainty,below_limit,loq,analysis_type,source_file
p01-HTØP8470,As,Arsen,8.7,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Cd,Kadmium,0.02,mg/kg,,True,0.02,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Cr,Krom,88.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Cu,Kopper,49.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Hg,Kvikksølv,0.017,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Ni,Nikkel,120.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Pb,Bly,4.3,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Zn,Sink,58.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,PAH16,Sum PAH-16,0.028,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Benzen,Benzen,0.03,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-HTØP8470,Alifater C12-C35,Sum alifater > C12-C35,46.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,As,Arsen,6.6,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Cd,Kadmium,0.02,mg/kg,,True,0.02,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Cr,Krom,78.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Cu,Kopper,30.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Hg,Kvikksølv,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Ni,Nikkel,110.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Pb,Bly,10.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Zn,Sink,49.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,PCB7,Sum PCB7,0.007,mg/kg,,True,0.007,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,BaP,Benso(a)pyren^,0.01,mg/kg,,True,0.01,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,PAH16,Sum PAH-16,0.042,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Benzen,Benzen,0.036,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Toluen,Toluen*,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Etylbenzen,Etylbenzen *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Xylen,Xylener *,0.04,mg/kg,,True,0.04,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Alifater C8-C10,Alifater >C8-C10,2.0,mg/kg,,True,2.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Alifater C10-C12,Alifater >C10-C12,5.0,mg/kg,,True,5.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8550,Alifater C12-C35,Sum alifater > C12-C35,10.0,mg/kg,,True,10.0,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,As,Arsen,8.9,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Cd,Kadmium,0.036,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
p01-BR-HØ-8580,Cr,Krom,62.0,mg/kg,,False,,totalanalyse,01_e18-e102\extracted\p01_results.csv
